Arizona,Arizona
Louisville,Louisville
Florida,Florida
Virginia,Virginia
Wichita St.,Wichita St.
Villanova,Villanova
Duke,Duke
Creighton,Creighton
Kansas,Kansas
Michigan St.,Michigan St.
Wisconsin,Wisconsin
VCU,VCU
Tennessee,Tennessee
Michigan,Michigan
Syracuse,Syracuse
UCLA,UCLA
Kentucky,Kentucky
Pittsburgh,Pittsburgh
Ohio St.,Ohio St.
Gonzaga,Gonzaga
San Diego St.,San Diego St.
Northern Iowa,UNI
Oklahoma St.,Oklahoma St.
Iowa St.,Iowa St.
Cincinnati,Cincinnati
Connecticut,UConn
North Carolina,North Carolina
Iowa,Iowa
New Mexico,New Mexico
Oklahoma,Oklahoma
Oregon,Oregon
Baylor,Baylor
SMU,SMU
Harvard,Harvard
Saint Louis,Saint Louis
Louisiana Tech,Louisiana Tech
Utah,Utah
Stanford,Stanford
St. John's,St. John's (NY)
Texas,Texas
Providence,Providence
Florida St.,Florida St.
Xavier,Xavier
Maryland,Maryland
Kansas St.,Kansas St.
Memphis,Memphis
George Washington,George Washington
Arizona St.,Arizona St.
Nebraska,Nebraska
Saint Joseph's,Saint Joseph's
BYU,BYU
Clemson,Clemson
Massachusetts,Massachusetts
Dayton,Dayton
Georgetown,Georgetown
North Dakota St.,North Dakota St.
Illinois,Illinois
Minnesota,Minnesota
Arkansas,Arkansas
Stephen F. Austin,Stephen F. Austin
Georgia St.,Georgia St.
Green Bay,Green Bay
Marquette,Marquette
Southern Miss,Southern Miss.
Colorado,Colorado
West Virginia,West Virginia
North Carolina St.,North Carolina St.
Manhattan,Manhattan
Tulsa,Tulsa
LSU,LSU
Vermont,Vermont
New Mexico St.,New Mexico St.
Miami FL,Miami (FL)
California,California
Indiana,Indiana
Georgia,Georgia
Iona,Iona
Missouri,Missouri
North Carolina Central,
Saint Mary's,St. Mary's (CA)
Boise St.,Boise St.
San Francisco,San Francisco
Penn St.,Penn St.
Middle Tennessee,Middle Tenn.
Texas Tech,Texas Tech
Cleveland St.,Cleveland St.
UC Irvine,UC Irvine
Seton Hall,Seton Hall
St. Bonaventure,St. Bonaventure
UNLV,UNLV
Mississippi,Ole Miss
UTEP,UTEP
Richmond,Richmond
Butler,Butler
Washington,Washington
Princeton,Princeton
Alabama,Alabama
American,American
Mercer,Mercer
Buffalo,Buffalo
Notre Dame,Notre Dame
Purdue,Purdue
Oregon St.,Oregon St.
Indiana St.,Indiana St.
Delaware,Delaware
Rhode Island,Rhode Island
La Salle,La Salle
Toledo,Toledo
Belmont,Belmont
Canisius,Canisius
Georgia Tech,Georgia Tech
Portland,Portland
Western Michigan,Western Mich.
UC Santa Barbara,UC Santa Barbara
Louisiana Lafayette,La.-Lafayette
Wake Forest,Wake Forest
Wyoming,Wyoming
Davidson,Davidson
Ohio,Ohio
Vanderbilt,Vanderbilt
South Carolina,South Carolina
Eastern Michigan,Eastern Mich.
Fresno St.,Fresno St.
South Dakota St.,South Dakota St.
Boston University,Boston U.
Columbia,Columbia
Wright St.,Wright St.
Towson,Towson
Eastern Kentucky,Eastern Ky.
Houston,Houston
Texas A&M,Texas A&M
Utah St.,Utah St.
Akron,Akron
Drexel,Drexel
Northwestern,Northwestern
Auburn,Auburn
George Mason,George Mason
Colorado St.,Colorado St.
Illinois St.,Illinois St.
Denver,Denver
Boston College,Boston College
San Diego,San Diego
IPFW,IPFW
Duquesne,Duquesne
Long Beach St.,Long Beach St.
Nevada,Nevada
Hawaii,Hawaii
Missouri St.,Missouri St.
Quinnipiac,Quinnipiac
Bucknell,Bucknell
Holy Cross,Holy Cross
Santa Clara,Santa Clara
Southern Illinois,Southern Ill.
Brown,Brown
UAB,UAB
Murray St.,Murray St.
USC,Southern California
Pacific,Pacific
Temple,Temple
USC Upstate,USC Upstate
Valparaiso,Valparaiso
Arkansas St.,Arkansas St.
Milwaukee,Milwaukee
William & Mary,William & Mary
Stony Brook,Stony Brook
Pepperdine,Pepperdine
Northwestern St.,Northwestern St.
UCF,UCF
Weber St.,Weber St.
Rutgers,Rutgers
Yale,Yale
Siena,Siena
Cal Poly,Cal Poly
Wagner,Wagner
DePaul,DePaul
Charlotte,Charlotte
Albany,Albany (NY)
Nebraska Omaha,Omaha
Western Kentucky,Western Ky.
Florida Gulf Coast,FGCU
Colgate,Colgate
Old Dominion,Old Dominion
Youngstown St.,Youngstown St.
Wofford,Wofford
Loyola Marymount,Loyola Marymount
Robert Morris,Robert Morris
Washington St.,Washington St.
