Team1,Team2,Date
Bryant,Gonzaga,11/09/2013
Cal St. Fullerton,Montana St.,11/09/2013
Binghamton,Brown,11/10/2013
Charleston So.,Delaware,11/10/2013
Harvard,Holy Cross,11/10/2013
Belmont,Richmond,11/11/2013
Ga. Southern,Miami (FL),11/11/2013
Presbyterian,Citadel,11/12/2013
Bryant,Dartmouth,11/13/2013
Indiana St.,Belmont,11/14/2013
Howard,Harvard,11/15/2013
Vermont,Bryant,11/16/2013
Belmont,North Carolina,11/17/2013
Charleston So.,New Mexico,11/17/2013
Eastern Wash.,Washington,11/17/2013
Citadel,Tennessee,11/18/2013
Lipscomb,Belmont,11/20/2013
Bryant,Harvard,11/20/2013
Charleston So.,Baylor,11/20/2013
Northern Colo.,New Mexico St.,11/20/2013
Citadel,Wake Forest,11/21/2013
Northern Colo.,Colorado St.,11/22/2013
Belmont,Holy Cross,11/23/2013
Eastern Wash.,LIU Brooklyn,11/23/2013
Bryant,New Hampshire,11/24/2013
Eastern Wash.,UC Irvine,11/24/2013
Harvard,Colorado,11/24/2013
St. Bonaventure,Southern Ill.,11/25/2013
Incarnate Word,North Texas,11/26/2013
Brown,Bryant,11/27/2013
Citadel,Towson,11/29/2013
Bethune-Cookman,Northern Colo.,11/30/2013
VCU,Belmont,12/01/2013
Prairie View,Northern Colo.,12/01/2013
Belmont,Middle Tenn.,12/03/2013
Delaware,Charleston So.,12/03/2013
Bryant,Yale,12/04/2013
Citadel,Navy,12/04/2013
Brown,American,12/07/2013
North Dakota St.,Bryant,12/07/2013
St. Bonaventure,Buffalo,12/07/2013
Bryant,Notre Dame,12/09/2013
Albany (NY),Brown,12/10/2013
Bryant,Ohio St.,12/11/2013
Belmont,South Dakota St.,12/14/2013
Navy,Bryant,12/14/2013
Charleston So.,Alabama,12/14/2013
UC Irvine,Eastern Wash.,12/15/2013
Belmont,Denver,12/17/2013
St. Bonaventure,Wake Forest,12/17/2013
Charleston So.,Western Caro.,12/18/2013
Kennesaw St.,Ga. Southern,12/18/2013
Ga. Southern,Georgia St.,12/20/2013
Bryant,Delaware,12/21/2013
Charleston So.,Central Ark.,12/21/2013
Citadel,Nebraska,12/21/2013
Sacramento St.,Cal St. Fullerton,12/21/2013
Eastern Wash.,Seton Hall,12/22/2013
Northern Colo.,Wyoming,12/22/2013
Binghamton,Buffalo,12/23/2013
Belmont,Indiana St.,12/28/2013
Bryant,Binghamton,12/28/2013
Ga. Southern,N.C. A&T,12/28/2013
Harvard,Fordham,12/28/2013
Col. of Charleston,Citadel,12/29/2013
North Dakota,Northern Colo.,12/29/2013
Lehigh,Bryant,12/30/2013
Charleston So.,Florida St.,12/30/2013
Delaware,St. Bonaventure,12/30/2013
Boston College,Harvard,01/01/2014
Jacksonville St.,Belmont,01/02/2014
Rhode Island,Brown,01/02/2014
Eastern Wash.,Weber St.,01/02/2014
Sacramento St.,Montana St.,01/02/2014
Tennessee Tech,Belmont,01/04/2014
Cal St. Fullerton,Tulsa,01/04/2014
Eastern Wash.,Idaho St.,01/04/2014
Samford,Ga. Southern,01/04/2014
Harvard,Rice,01/04/2014
Southern Utah,Northern Colo.,01/04/2014
New Hampshire,Brown,01/07/2014
Richmond,St. Bonaventure,01/08/2014
Belmont,Southeast Mo. St.,01/09/2014
Saint Francis (PA),Bryant,01/09/2014
Citadel,Wofford,01/09/2014
Montana,Eastern Wash.,01/09/2014
Incarnate Word,Southeastern La.,01/09/2014
Weber St.,Northern Colo.,01/09/2014
Belmont,UT Martin,01/11/2014
Robert Morris,Bryant,01/11/2014
Charleston So.,Winthrop,01/11/2014
Citadel,Elon,01/11/2014
Montana St.,Eastern Wash.,01/11/2014
Incarnate Word,New Orleans,01/11/2014
Idaho St.,Northern Colo.,01/11/2014
Sacramento St.,Southern Utah,01/11/2014
St. Bonaventure,Massachusetts,01/11/2014
Buffalo,Toledo,01/15/2014
Presbyterian,Charleston So.,01/15/2014
St. Bonaventure,Saint Louis,01/15/2014
Belmont,Eastern Ky.,01/16/2014
Sacred Heart,Bryant,01/16/2014
Citadel,UNC Greensboro,01/16/2014
Eastern Wash.,Northern Ariz.,01/16/2014
Central Ark.,Incarnate Word,01/16/2014
Northern Colo.,Montana St.,01/16/2014
Portland St.,Sacramento St.,01/16/2014
Belmont,Tennessee St.,01/18/2014
Kent St.,Buffalo,01/18/2014
UNC Asheville,Charleston So.,01/18/2014
Furman,Citadel,01/18/2014
Eastern Wash.,Sacramento St.,01/18/2014
Ga. Southern,Appalachian St.,01/18/2014
Northern Colo.,Montana,01/18/2014
George Washington,St. Bonaventure,01/18/2014
Harvard,Fla. Atlantic,01/21/2014
La Salle,St. Bonaventure,01/22/2014
Morehead St.,Belmont,01/23/2014
LIU Brooklyn,Bryant,01/23/2014
Buffalo,Ball St.,01/23/2014
Appalachian St.,Citadel,01/23/2014
Southern Utah,Eastern Wash.,01/23/2014
Sam Houston St.,Incarnate Word,01/23/2014
Northern Ariz.,Northern Colo.,01/23/2014
Eastern Ky.,Belmont,01/25/2014
St. Francis Brooklyn,Bryant,01/25/2014
Sacramento St.,Northern Colo.,01/25/2014
St. Bonaventure,Duquesne,01/25/2014
UC Santa Barbara,Cal St. Fullerton,01/25/2014
Eastern Wash.,Portland St.,01/27/2014
Belmont,Morehead St.,01/29/2014
Western Mich.,Buffalo,01/29/2014
Charleston So.,Campbell,01/29/2014
Massachusetts,St. Bonaventure,01/29/2014
Bryant,Robert Morris,01/30/2014
Citadel,Ga. Southern,01/30/2014
North Dakota,Eastern Wash.,01/30/2014
Incarnate Word,Northwestern St.,01/30/2014
Northern Colo.,Portland St.,01/30/2014
Idaho St.,Sacramento St.,01/30/2014
Cornell,Brown,01/31/2014
